run_short,camera_short,selector_version,selector_kind,created_at_kst,window_start_kst,window_end_kst,selected_jobs,selected_with_prelabel,selected_linkage_kind,window_clips,window_clips_with_prelabel_at_run,window_time_kind,eligible_pool_kind
47e23b7c,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.781590+09:00,2026-07-11T03:00:00+09:00,2026-07-11T04:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
b5caf134,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:47.779950+09:00,2026-07-11T20:00:00+09:00,2026-07-11T21:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
7893e92c,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:47.876821+09:00,2026-07-11T21:00:00+09:00,2026-07-11T22:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
bb6229b9,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:47.958498+09:00,2026-07-11T22:00:00+09:00,2026-07-11T23:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
207dcc13,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:48.039181+09:00,2026-07-11T23:00:00+09:00,2026-07-12T00:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
dd34a877,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:48.120227+09:00,2026-07-12T00:00:00+09:00,2026-07-12T01:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
109bad10,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:48.192095+09:00,2026-07-12T01:00:00+09:00,2026-07-12T02:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
db9f964b,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:48.267318+09:00,2026-07-12T02:00:00+09:00,2026-07-12T03:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
86a46621,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T10:42:48.347430+09:00,2026-07-12T03:00:00+09:00,2026-07-12T04:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
76db1fb7,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.562752+09:00,2026-07-12T20:00:00+09:00,2026-07-12T21:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
ee678928,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.666158+09:00,2026-07-12T21:00:00+09:00,2026-07-12T22:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
5d42c4ca,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.767108+09:00,2026-07-12T22:00:00+09:00,2026-07-12T23:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
eda466ae,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.849429+09:00,2026-07-12T23:00:00+09:00,2026-07-13T00:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
f119e50d,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.927255+09:00,2026-07-13T00:00:00+09:00,2026-07-13T01:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
5c3cea31,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:31.999429+09:00,2026-07-13T01:00:00+09:00,2026-07-13T02:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
a296a6cd,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T12:38:32.070129+09:00,2026-07-13T02:00:00+09:00,2026-07-13T03:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
